blockchain,type,tx_hash,tx_fee_raw
degen,DynamicFee,0x5f0a9497c485750563bfdff8d3dfcdf50ed3e2ca230a1bcb591a90c8ac879ba9,323860000000
degen,126,0xa745430acb98e9ca9957d1fe029d6144bbe244afc1545a2c7d02c0db25cb7e38,0
degen,DynamicFee,0xb504c77ebd0bb15a1d55dd3a6c068fe702620acc44dde03b1319ce6909c7eb24,4554870000000
sonic,DynamicFee,0x85e1e288210f0f93de9a6ce24d14e7fcdaf3798f46992fb05fd9a8abf3f712ed,5383862000000000
sonic,DynamicFee,0x1b5d48d1777fc233bbb4ca3d264db8c702ef049b69ec63380710c46c052f1371,765455250000000
berachain,Legacy,0x5d8cc9600666c82e8dcdcf10d558570a065cdb9f6d8f6102564cbab4e3bea4ee,48254766000
berachain,Legacy,0xc43bf697d7315a8a65599a2c27662b05dbbcebc6f94bef55d9d1048ca1212bd1,48254766000
flare,DynamicFee,0xdbe1bc4a781fe0d7fb624774415b21ef33db3ad2d61f682059289b033459b3b1,7563500000000000
flare,DynamicFee,0x91fce5960e231a63c6d5c3786c067bd87ac58238de35bb04f48e0d949e212520,32146531529525400
viction,BlockSign,0xb6371cccab6bb40f53e7726b7c11dd21cfef00ea31f7d2334440788b04ce088e,0
viction,BlockSign,0xd2a733a8245176cfa830a0ce16c80ed79cadd87852f0c3bec6c558698c35973a,0
viction,BlockSign,0x4f9192b21daadd376baaef2bc15e61de5be0dc28970141c62706e4c8b6bf7f1e,13490000000000
kaia,FeeDelegated,0x6e5c095bcb366756514d3038103d8e67512a6d1839b2ef987feef076a1e9a851,9241850000000000
kaia,FeeDelegated,0xfb4ce87a2b1c6562ba407e595f480da5e46add490f91d063a8d876901ef6456f,3799700000000000
lens,EIP-712,0x66e542507956b629be573e9443349b171c9e314bf68abb3418b1345a08f7e9c4,2086959534939200
lens,EIP-712,0xff6c3ebf37b1ca24ec29853c835cce71c18d39235d2be107e2c693d8f5422d8a,889356661229586
lens,Priority,0x0e834a520464bf3317b5509c39bf41c48a310770f7877487f038d91f61cef2fb,69780000000000
plume,DynamicFee,0xcbebdbae93e09be3ed5f027438cf789264891290b551cfb74b86f720f53da207,12265300000000000
plume,Legacy,0x6bd214153780496d5f4a061cc8f08659756998c7665ba8da45958522ba918c00,456156000000
plume,106,0xee8411f2140ca4d694e9f6c69e0926b4abbb825c02025e2b006c13635a9521fd,0
plume,105,0x64665c1434cf0dd5814b311f8ed86010fd6713979aeea120a7d1c1c1a3bb4543,7524060000000
plume,104,0x83c9cdb23dc6c775cf0ecb78b7a181ddb52271ac036972489057f7c49831161b,2100000000000000
plume,100,0x9ca134102d738eccd3d754cdcc3d29a287b46434b121e487623d960b65dc1abb,0
opbnb,126,0xde00a6b2bef1079d7670db942254369a58746d89295942853e0bab0b5b0c0f1f,0
opbnb,DynamicFee,0x81ce3682b86c4640f3f0f59cc5cf7cbb1de99df15677776ab7bf828113875118,17605200065
opbnb,Legacy,0x1218c8a00f407d397ece51dabf1aa960a5c878d69547abc944a80579ef850a6a,40043000065
