tx_hash,seller,nft_token_id
0x0a663b26ff2aef0f05497b6e71ebfa39a44a06308bf90a6c9fc9edd1b4ff7b2d,0x2eff303377b9e01e042b7f80fb42836b35fb1a49,2
0x6fbf3040f7d78676a1add96fad0a003f48cf4e8d38f90697379a5d6da573e27b,0xc6ae148a23cf6881e98976b11002d1000941b9ef,604
0x2d59b84eaaa65f380bd3edfba132f12638c425517d73f5e28871f451a2152c26,0x4bae66780c3988b812b7af06745b721f615e6b2a,705
0xc1007a54d593c644f84b4a152889df28a4625d79c3213662c5f53190fedba34c,0x50741ed681e192ff0f07e2a572b0974b20ad9dfc,1492
0xb95da485e8fcbd127298f8adb59cf8f8f3e4a9c355c50297f04b27115d2a6edc,0x1a58bd29f9cebf7d3e0d3e354457e90905bfb1da,1580
0x1119cc6522ec36d3a4070271f6da9054e753213aa3e0a5ab32c0f7dd6a2ca18d,0x7e402d06120c1cdeb90c9388a543863e18c1b6b3,11766
0xd598c42ef93054adbc3568b4c8136799708896b924c620d27d170f6ca556030c,0x8373317bab27347937ddcf1893ac7e7a8fd15ade,3421
0x4aed2bc9c051d160754bc5099fa40769f8ebe8ddcaf784d1b6e9341b10e7ecba,0x184f9db967ce5703617a15d00c5e656c2c28cb0d,697
0x781ba3fa336b58a283fd6eb3bcb04456d1b3fc504208df7d41ff79848ed3ec0b,0x982b564c6b98f89cfa24ec072c15d9d587401f26,704
0xb3735c84663cda795a826561c016cc73cb44d3b54dc7f3330f213de39e975be5,0x4062cfa41b1be30db8820f87eec2102bbd64abd7,3252
0x444486ec9224d03701326ea902d758124f7defb2582b9741c46e3e81607add50,0x7d872f8ec8e6463d06e8f99f4f0e9dc5f2b15877,5834
0xa5ef024fd8bffacaad3cb95dd87d8dab8e9ca812309a3d581eee0a95f26d42ad,0x54df795baa0baf580140f97927d87df09a5cdf52,5555
0x853f7041497eca93a1f5199fc7d7181abf34762e4a288d58bc407990f9e21372,0x65c04677ee6706e556ffa01ad316dce34beae52d,2042
0x0f0c33f6ba01bca805077e9d524b98b6e3c34e85596f2d37ddcd95f3cc3117ec,0x717f9844f0eafd727674dc3b9a6c41645938818d,3865
0x5c3912e0376deabc55e0e1f60c147c734100f7cb3596bf74642fbeae12ed5a20,0xf063e6218bb069a800aae5fdfb06bb81950a065f,8369
0x89f215aa3f3f2c8a76014d4b87692f32a7935ad5106757510a53d4ad1f7fbb79,0x09a0b76ede80debc3a470965a2e38d2d7fe3c2c2,5584
0xed8c5dd1621be7e07e1c4be76c9d7eb256f6ea3b3cc4ee556646f89883aced0e,0xd70ab49865e3f68981f45a72c79358870ed22d11,10152
0xd88af388ac133815b98e8a914be7919a1d3fd00e670ee38288667f3e776cd936,0x86d2f873d015953381563e2914437bef32c693c0,2631
0xccef443d67d561f0abfb96fba08fbc58965cd2e82a6cb51f7430e9b8c97a46d6,0x957e0cd5ee6417ef4dba305063908b6baee7baab,323
0xc686d9bb98c9668a4bd08c4cbb4a3f1930cbb0645f389e821be9d90ab2682b08,0x7f062fa8a16848569bd6a844630a92f5117fdd18,7590
0x3fba35261b990a1a9633d824143ec4bfcfc0b0077ef85261db6712dd12f1b764,0x2b165a80e79f5458aa66efd0ee6d384215abc0c8,1979
0xe6647f15b900a2eb388f52d7d3e1f162678fbd33412e87617475f16f45602957,0x5fa94e8c8d42a168e79aa43ef0ab81ab2767fccd,759
