blockchain,project,version,block_date,tx_hash,evt_index,trace_address,token_bought_address,token_bought_amount,token_sold_address,token_sold_amount
optimism,firebird_finance,1,2022-09-12,0x4b229101a53eda64d7205e8c67da5b69ac57b7030d7420777131dcebd1b6451c,18,-1,0x7f5c764cbc14f9669b88837ca1490cca17c31607,33.450938,0x4200000000000000000000000000000000000006,0.01913919808305519
optimism,firebird_finance,1,2022-09-27,0x77266a3fb99476be6859436eb0000ec1d0a0a78400149195317a65e2a70a5577,11,-1,0x4200000000000000000000000000000000000042,413.41739538888197,0x7f5c764cbc14f9669b88837ca1490cca17c31607,400
polygon,bebop,jam,2023-12-26,0x2d557f42bc297c4a80953ab411b0215332a479f9c8965a94c35d1116a43e7405,361,"0,0",0x8f3cf7ad23cd3cadbd9735aff958023239c6a063,0.02490757551521891,0x2f6f07cdcf3588944bf4c42ac74ff24bf56e7590,0.19901417214943845
arbitrum,bebop,jam,2023-12-22,0x9af150d67bf4a45f431eaea2b31c45b545caf142b4e407e66f84893bd644e5f7,15,"0,0",0x11cdb42b0eb46d95f990bedd4695a6e3fa034978,369.4936753177027,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,224.0498860609381
ethereum,bebop,jam,2023-12-11,0x8487dba2850c0dc4e9760eaf96d1912e13a0c1dc5632dc82d1a8fa362e853cce,646,"0,0",0x6b175474e89094c44da98b954eedeac495271d0f,42.825602116243985,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,82.019954
optimism,odos,1,2023-01-06,0x34bdb3f700f86d466b89ee75af6b59ca793f9710be1f17a7209d39a73edebc68,21,-1,0x307837663563373634636263313466393636396238383833376361313439306363613137633331363037,203.102916,0x4200000000000000000000000000000000000006,0.16
optimism,odos,1,2023-01-06,0xc9ef2bd31fb060d19ac98860fbff8d8a8916222db4ab91d96410ceff44c3d5b7,9,-1,0x307864613130303039636264356430376464306365636336363136316663393364376339303030646131,11.51720714468193,0x7f5c764cbc14f9669b88837ca1490cca17c31607,11.54
optimism,odos,2,2023-09-12,0x0499c7b804af5cdc6abaf6f87231c2845aa9952efee194c8e352f0458ff93c45,52,-1,0x7f5c764cbc14f9669b88837ca1490cca17c31607,0.800767,0x0b2c639c533813f4aa9d7837caf62653d097ff85,0.801448
optimism,odos,2,2024-01-03,0xdc2104faf071a2cd7200bec603cdd26623da73d7d44aea84b9cf088a3417ff2c,133,-1,0x8c6f28f2f1a3c87f0f938b96d27520d9751ec8d9,28320.33619113824,0x94b008aa00579c1307b0ef2c499ad98a8ce58e58,27998.94
bnb,bebop,jam,2024-02-09,0x53b910f5cf68575c5893c0dcc80286f49568aaf33f0237067e7a01c780c6b3f9,302,"0,0",0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,160.11546445531602,0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82,63
base,odos,2,2023-12-13,0x76c19b9882be9a4f819e48384ef32c8b74db0031391374ba9739fef3bc753720,7,-1,0xd9aaec86b65d86f6a7b5b1b0c42ffa531710b6ca,197.030133,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,197.0433
base,odos,2,2024-03-07,0x5c12e43ddaa2bdcc94dd149c0060a972cef54bc3c8f35d99b0bfa618795e9df3,20,-1,0xd9aaec86b65d86f6a7b5b1b0c42ffa531710b6ca,19.38398,0x4200000000000000000000000000000000000006,0.005
base,paraswap,5,2023-09-28,0x8e141830a3dc963c10050ebf012bfcb1d0f02b88583568748f2dc3cfdbb96180,62,-1,0x2ae3f1ec7f1f5012cfeab0185bfc7aa3cf0dec22,0.08578952217686285,0x4200000000000000000000000000000000000006,0.09
base,paraswap,5,2023-09-30,0xdd95c0eefbc4cb42fd31241e1f5910082a25f1ca8e98ee68ac7e0416af6d45e3,7,-1,0x4200000000000000000000000000000000000006,0.04466528192622946,0xd9aaec86b65d86f6a7b5b1b0c42ffa531710b6ca,75
ethereum,odos,2,2024-03-06,0xc5db3e9291b5867ce009dccefa855bfa2f5470b96f6f78cc271146a91c0c4a73,348,-1,0x5de8ab7e27f6e7a1fff3e5b337584aa43961beef,38276.8472580857790464,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.24
ethereum,odos,2,2023-08-16,0x48309564a23a8c0c6f284dcb6a8856d40ed934fc3892890bfa08d3cd6a1382c2,28,-1,0x046eee2cc3188071c02bfc1745a6b17c656e3f3d,18588.297962630695354368,0xf1182229b71e79e504b1d2bf076c15a277311e05,1700
