version,name,symbol,pool_address,decoded,dune_namespace,dune_table_name,a,mid_fee,out_fee,token_address,deposit_contract,coin0,coin1,coin2,coin3,undercoin0,undercoin1,undercoin2,undercoin3,gauge_contract
Regular,musd,musd,0x8474ddbe98f5aa3179b3b3f5942d724afcdec9f6,yes,curvefi,musd_swap,,,,0x1aef73d49dedc4b1778d0706583995958dc862e6,0x803a2b40c5a9bb2b86dd630b274fa2a9202874c2,0xe2f2a5c287993345a840db3b0845fbc70f5935a5,0x6c3f90f043a72fa612cbac8115ee7e52bde6e490,,,0xe2f2a5c287993345a840db3b0845fbc70f5935a5,0x6b175474e89094c44da98b954eedeac495271d0f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xdac17f958d2ee523a2206206994597c13d831ec7,0x5f626c30ec1215f4edcc9982265e8b1f411d1352
Regular,mim,mim,0x5a6a4d54456819380173272a5e8e9b9904bdf41b,yes,curvefi,mim,,,,0x5a6a4d54456819380173272a5e8e9b9904bdf41b,,0x99d8a9c45b2eca8864373a26d1459e3dff1e17f3,0x6c3f90f043a72fa612cbac8115ee7e52bde6e490,,,0x99d8a9c45b2eca8864373a26d1459e3dff1e17f3,0x6b175474e89094c44da98b954eedeac495271d0f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xdac17f958d2ee523a2206206994597c13d831ec7,0xd8b712d29381748db89c36bca0138d7c75866ddf
Factory V1 Plain,Meta EUR,mEUR,0x3cfaa1596777cad9f5004f9a0c443d912e262243,yes,curvefi,mEUR,100,4000000,4000000,0x3cfaa1596777cad9f5004f9a0c443d912e262243,0x3cfaa1596777cad9f5004f9a0c443d912e262243,0x68037790a0229e9ce6eaa8a99ea92964106c4703,0xc581b735a1688071a1746c968e0798d642ede491,0xdb25f211ab05b1c97d595516f45794528a807ad8,0xd71ecff9342a5ced620049e616c5035f1db98620,,,,,
Regular,lusd,lusd,0xed279fdd11ca84beef15af5d39bb4d4bee23f0ca,yes,curvefi,lusd_swap,,,,0xed279fdd11ca84beef15af5d39bb4d4bee23f0ca,,0x5f98805a4e8be255a32880fdec7f6728c6568ba0,0x6c3f90f043a72fa612cbac8115ee7e52bde6e490,,,0x5f98805a4e8be255a32880fdec7f6728c6568ba0,0x6b175474e89094c44da98b954eedeac495271d0f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xdac17f958d2ee523a2206206994597c13d831ec7,0x9b8519a9a00100720ccdc8a120fbed319ca47a14
Regular,linkusd,linkusd,0xe7a24ef0c5e95ffb0f6684b813a78f2a3ad7d171,yes,curvefi,linkusd_swap,,,,0x6d65b498cb23deaba52db31c93da9bffb340fb8f,0x1de7f0866e2c4adac7b457c58cc25c8688cda1f2,0x0e2ec54fc0b509f445631bf4b91ab8168230c752,0x6c3f90f043a72fa612cbac8115ee7e52bde6e490,,,0x0e2ec54fc0b509f445631bf4b91ab8168230c752,0x6b175474e89094c44da98b954eedeac495271d0f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xdac17f958d2ee523a2206206994597c13d831ec7,
Regular,link,link,0xf178c0b5bb7e7abf4e12a4838c7b7c5ba2c623c0,yes,curvefi,link_swap,,,,0xcee60cfa923170e4f8204ae08b4fa6a3f5656f3a,,0x514910771af9ca656af840dff83e8264ecf986ca,0xbbc455cb4f1b9e4bfc4b73970d360c8f032efee6,,,,,,,0xfd4d8a17df4c27c1dd245d153ccf4499e806c87d
Factory V1 Meta,kusd-3pool,kusd3pool,0xed09ca8275dffb09c632b6ea58c035a851f73616,yes,curvefi,kusd3pool,200,4000000,4000000,0xed09ca8275dffb09c632b6ea58c035a851f73616,0xed09ca8275dffb09c632b6ea58c035a851f73616,0x332e824e46fceeb9e59ba9491b80d3e6d42b0b59,0x6c3f90f043a72fa612cbac8115ee7e52bde6e490,,,0x332e824e46fceeb9e59ba9491b80d3e6d42b0b59,0x6b175474e89094c44da98b954eedeac495271d0f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xdac17f958d2ee523a2206206994597c13d831ec7,
Factory V1 Plain,jGBP/TGBP,jGBP+TGBP,0xed24fe718effc6b2fc59eeaa5c5f51dd079ab6ed,yes,curvefi,jGBP_TGBP,200,4000000,4000000,0xed24fe718effc6b2fc59eeaa5c5f51dd079ab6ed,0xed24fe718effc6b2fc59eeaa5c5f51dd079ab6ed,0x7409856cae628f5d578b285b45669b36e7005283,0x00000000441378008ea67f4284a57932b1c000a5,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,,,,,
Regular,ib,ib,0x2dded6da1bf5dbdf597c45fcfaa3194e53ecfeaf,yes,curvefi,ironbank_swap,,,,0x5282a4ef67d9c33135340fb3289cc1711c13638c,,0x8e595470ed749b85c6f7669de83eae304c2ec68f,0x76eb2fe28b36b3ee97f3adae0c69606eedb2a37c,0x48759f220ed983db51fa7a8c0d2aab8f3ce4166a,,0x6b175474e89094c44da98b954eedeac495271d0f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xdac17f958d2ee523a2206206994597c13d831ec7,,0xf5194c3325202f456c95c1cf0ca36f8475c1949f
Factory V2,INV/DOLA,INVDOLA,0x99af0326ab1c2a68c6712a5622c1aa8e4b35fd57,yes,curvefi,invdola_swap,400000,26000000,45000000,0x1868e657122554750eb07b2fa45b4044af35c583,0x99af0326ab1c2a68c6712a5622c1aa8e4b35fd57,0x41d5d79431a913c4ae7d69a668ecdfe5ff9dfb68,0x865377367054516e17014ccded1e7d814edc9ce4,,,,,,,
