block_time,token_a_symbol,token_b_symbol,token_a_amount,token_b_amount,project,version,category,trader_a,token_a_amount_raw,token_b_amount_raw,usd_amount,token_a_address,token_b_address,exchange_contract_address,tx_hash,tx_from,tx_to,evt_index,trade_id
2022-09-04T01:44:01+00:00,KNC,WETH,753.724815407103,0.821427642437439,Kyber,dmm,DEX,\x56178a0d5f301baf6cf3e1cd53d9863437345bf9,753724815407103000000,821427642437439006,1279.71855270613,\xdefa4e8a7bcba345f687a2f1456f5edd9ce97202,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,\x61639d6ec06c13a96b5eb9560b359d7c648c7759,\x1ca8285a3ac850cf9ef99d6e0b4ff2f31832b5f9ea77c3875fbf43d1ffb4a049,\x042523db4f3effc33d2742022b2490258494f8b3,\xa57bd00134b2850b2a1c55860c9e9ea100fdd6cf,120,1
2022-09-04T01:44:55+00:00,KNC,WETH,664.588592317157,0.724902551957751,Kyber,dmm,DEX,\x56178a0d5f301baf6cf3e1cd53d9863437345bf9,664588592317157000000,724902551957750541,1129.34018374602,\xdefa4e8a7bcba345f687a2f1456f5edd9ce97202,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,\x61639d6ec06c13a96b5eb9560b359d7c648c7759,\x42ec3f6d50fe2d522c4e49da5ddab4efcdaf110ab8797db4af3c8056f15a6db2,\xbbad96336943a36e3e292d973b3382dd0ba4d1ef,\xa57bd00134b2850b2a1c55860c9e9ea100fdd6cf,352,1
2022-09-04T04:42:28+00:00,USDT,,94.919915,,Kyber,dmm,DEX,\x1111111254fb6c44bac0bed2854e76f90643097d,94919915,3139710210000000000000,94.992718574805,\xdac17f958d2ee523a2206206994597c13d831ec7,\x94a7f270cd12545a277e656266aef5e27df3eb28,\x0fa8e845777e0c6d6a9f2f22c57c53a4b56a150a,\xf3796857aad60e77c5ff5667aa628de805488a1de39e691e0518742261691064,\x072fff8f1c57cc0b64dc6da10e156d0cd845df79,\x1111111254fb6c44bac0bed2854e76f90643097d,95,1
2022-04-15T12:00:11+00:00,ETH,,0.05,,Kyber,dmm,Aggregator,\x281054ed6658ebaa6fb35bb9500f2da098ad76c3,50000000000000000,33972556642988020709844,151.5655,\xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,\xaeb813653bb20d5fa4798dc4fc63af9cad4f3f67,\xdf1a1b60f2d438842916c0adc43748768353ec25,\x144bde97520fe326753c1eb8ceaf9034285ef528e975272a7e90aaa226116d44,\x281054ed6658ebaa6fb35bb9500f2da098ad76c3,\xdf1a1b60f2d438842916c0adc43748768353ec25,50,1
2022-04-15T12:03:20+00:00,MLN,WETH,73.0698727758245,1.32098769,Kyber,2,DEX,\x839d4641f97153b0ff26ab837860c479e2bd0242,73069872775824500000,1320987690000000000,4050.99374669171,\xec67005c4e498ec7f55e092bd1d35cbc47c91892,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,\x7c66550c9c730b6fdd4c03bc2e73c5462c5f7acc,\x42c8fabf61aa083110a04a54575ae15cd49ed4e170333233ead5d51310831732,\x839d4641f97153b0ff26ab837860c479e2bd0242,\x1111111254fb6c44bac0bed2854e76f90643097d,1147,1
2022-04-15T12:05:39+00:00,WETH,KNC,8.30262605780643,5540.489,Kyber,dmm,DEX,\x000000000dfde7deaf24138722987c9a6991e2d4,8302626057806430000,5540488999999999000000,25156.7909026323,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,\xdefa4e8a7bcba345f687a2f1456f5edd9ce97202,\x61639d6ec06c13a96b5eb9560b359d7c648c7759,\x758f62a13b26ccec2eeeb421d10bb1a684170793f506f5d66f399a55c57b4dd1,\x5eb656432b07fb784c0455e58f865bde2a7fac82,\x000000000dfde7deaf24138722987c9a6991e2d4,8,1
2022-04-15T12:05:39+00:00,WETH,KNC,14.8479801757412,10000,Kyber,dmm,DEX,\x1c87257f5e8609940bc751a07bb085bb7f8cdbe6,14847980175741200000,10000000000000000000000,44989.0829728923,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,\xdefa4e8a7bcba345f687a2f1456f5edd9ce97202,\x61639d6ec06c13a96b5eb9560b359d7c648c7759,\xe5a1a09509d83e66bdf30c56aed115ab517553fad8cd702eb16e0656231a3508,\x25a88ff5bbd4dc53b88178ce9185e959d438522e,\x1c87257f5e8609940bc751a07bb085bb7f8cdbe6,20,1
2022-04-15T12:05:51+00:00,KNC,WETH,284.081845653818,0.421647,Kyber,dmm,DEX,\xe294b87474c9ed8aececc014f6032888fd0f4980,284081845653818000000,421647000000000000,1277.58197706,\xdefa4e8a7bcba345f687a2f1456f5edd9ce97202,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,\x61639d6ec06c13a96b5eb9560b359d7c648c7759,\xd9104972ffdde094b203b1d89993e10557120e0e692724e4314f076c39af6a1b,\x3b25d8e0801df1264a3d3a5f0bb79bbc292a09fb,\x45716d9eddbc332df1d42b9f540fbebed671b20f,18,1
2022-04-15T12:05:51+00:00,KNC,KNC,286.752095839731,284.081845653818,Kyber,dmm,DEX,\x76838fd2f22bdc1d3e96069971e65653173edb2a,286752095839731000000,284081845653817907135,1301.85451511238,\xdd974d5c2e2928dea5f71b9825b8b646686bd200,\xdefa4e8a7bcba345f687a2f1456f5edd9ce97202,\xe294b87474c9ed8aececc014f6032888fd0f4980,\xd9104972ffdde094b203b1d89993e10557120e0e692724e4314f076c39af6a1b,\x3b25d8e0801df1264a3d3a5f0bb79bbc292a09fb,\x45716d9eddbc332df1d42b9f540fbebed671b20f,22,1
2022-04-15T12:07:12+00:00,KNC,WETH,175.12675426535,0.26,Kyber,dmm,DEX,\xd5aaec0bbd071d549751401fdfd8764242fc774d,175126754265350000000,260000000000000000,787.9222,\xdefa4e8a7bcba345f687a2f1456f5edd9ce97202,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,\x61639d6ec06c13a96b5eb9560b359d7c648c7759,\x53c596140029a5701bb641b8f109d4378f70f33c72601563c850d1d47d5297cc,\xd5aaec0bbd071d549751401fdfd8764242fc774d,\x00555513acf282b42882420e5e5ba87b44d8fa6e,174,1
